local_year_month,Unnamed: 0,station_id,V1,organization,region,local,lat,long,date,chla,tss,secchi_m,acdom440,OWT,Rrs486,Rrs571,Rrs660,Rrs850,predicted
Wisconsin_2019_07,166,AGID_2229,1371,NAN,US,Wisconsin,,,2019-07-24,41.4,11.6,1.2,1.30757888,5.0,0.0028500017203015,0.0073439181130452,0.0053162351521022,0.0015952935501833,0.7875203
Wisconsin_2019_07,167,AGID_2230,1373,NAN,US,Wisconsin,,,2019-07-24,55.1,15.0,0.8,1.436429531,5.0,0.0023936218554812,0.0071320481000868,0.0048258621223407,0.0003671535572147,0.47214943
Wisconsin_2019_07,168,AGID_2231,1374,NAN,US,Wisconsin,,,2019-07-24,60.5,19.0,0.8,1.55923456,5.0,0.0030148237857613,0.008001538637939,0.0056404327436301,0.0017338336883442,0.7473899
Wisconsin_2019_07,169,AGID_2232,1375,NAN,US,Wisconsin,,,2019-07-24,62.6,17.0,0.7,1.495013303,5.0,0.0029565220413082,0.0088763321930619,0.0055409899207119,0.0009206769153758,0.2479108
Wisconsin_2019_07,170,AGID_2233,1376,NAN,US,Wisconsin,,,2019-07-24,24.5,12.0,0.9,1.836196571,5.0,0.0031525979050613,0.0075748538020395,0.0065582732895744,0.0013993608614592,0.987309
WLE_2013_08,171,AGID_2234,1377,NAN,US,WLE,41.82785,-83.19558333,2013-08-20,,8.162729659,1.7,0.307531064,2.0,0.0114728981286124,0.0180597469611022,0.0106568702101631,0.0018563479162185,1.5461123
WLE_2013_08,172,AGID_2235,1378,NAN,US,WLE,41.80388333,-83.25605,2013-08-20,,9.366666667,1.5,0.379013567,2.0,0.0129320712169671,0.0207240074301218,0.013492393579427,0.0026698865228442,1.3703434
WLE_2013_08,173,AGID_2236,1379,NAN,US,WLE,41.85913333,-83.26406667,2013-08-20,49.408,18.02642276,1.25,,4.0,0.0145669651632218,0.0263467498046651,0.0170979309676234,0.0047185303938732,0.8947464
WLE_2013_08,174,AGID_2238,1381,NAN,US,WLE,41.69845,-82.73905,2013-08-21,17.472,5.491803279,2.0,0.384714365,2.0,0.0084968462986795,0.0128998241214698,0.0071351591944738,0.0014749088636571,2.2928166
WLE_2013_08,175,AGID_2239,1382,NAN,US,WLE,41.56566667,-82.70876667,2013-08-21,22.4832,4.488215488,2.25,0.337800859,2.0,0.0068682114076733,0.010369851341357,0.0057175146284583,0.001998568285754,2.6820178
WLE_2013_08,176,AGID_2240,1384,NAN,US,WLE,41.60568333,-82.62263333,2013-08-21,13.5936,3.444871795,2.5,0.250561823,3.0,0.0067398471507164,0.0099207866089337,0.0050749001351461,0.0008465405724556,2.9622443
WLE_2013_08,177,AGID_2241,1385,NAN,US,WLE,41.695,-82.87903333,2013-08-21,24.0768,7.983539095,1.5,0.243964775,2.0,0.0119877500443779,0.0192987360326626,0.010575858197578,0.0019734575154397,1.6052669
WLE_2013_08,178,AGID_2242,1386,NAN,US,WLE,41.93038333,-83.21473333,2013-08-22,26.0544,11.39784946,1.2,0.417221559,4.0,0.0130784418679816,0.0235859133497046,0.0148086938872012,0.0037554558089522,0.9843339
WLE_2013_08,179,AGID_2243,1387,NAN,US,WLE,41.91518333,-83.1218,2013-08-22,5.808,2.653061224,3.0,0.085403923,3.0,0.0107323965955146,0.0125025663919282,0.0053255144792664,0.0005215275441548,3.0827532
WLE_2013_08,180,AGID_2244,1388,NAN,US,WLE,41.94536667,-83.15075,2013-08-22,16.4736,3.719360269,2.7,0.101201631,3.0,0.0050617974824406,0.0072198336155853,0.0035248670164546,0.0006655096526354,3.6650162
WLE_2013_08,181,AGID_2245,1389,NAN,US,WLE,41.98731667,-83.13908333,2013-08-22,2.2608,2.75,3.2,0.108880565,3.0,0.0125441973609049,0.0128640274905802,0.0046084121464174,0.0002989348047258,3.6707444
WLE_2013_08,182,AGID_2246,1390,NAN,US,WLE,41.76233333,-83.33275,2013-08-23,27.264,10.58954248,1.25,0.421094611,4.0,0.0122593852490078,0.0197361355970084,0.0128700821071983,0.0029179479350662,1.2840304
WLE_2013_08,183,AGID_2247,1391,NAN,US,WLE,41.71671667,-83.37825,2013-08-23,100.992,30.08461538,0.5,1.180693625,5.0,0.0092535537194042,0.018145638615714,0.0130035344011954,0.0056725928008877,0.48820427
Europe_NA_NA,202,AGID_2355,1511,NAN,Europe,Europe,,,,71.75375,19.6,0.7,3.269670832,5.0,0.0032040598320137,0.0081843076684215,0.0066211489059023,0.0049926997988114,1.1399175
Europe_NA_NA,203,AGID_2356,1512,NAN,Europe,Europe,,,,28.21466667,12.5,0.9,2.670998708,7.0,0.0028412244023179,0.0069920772036732,0.0061839257445002,0.0018004252316361,1.0147156
Europe_NA_NA,204,AGID_2357,1513,NAN,Europe,Europe,,,,14.98027778,9.142857143,1.35,2.348636795,5.0,0.0023754713213945,0.0051773666760292,0.004620132730267,0.0010480074187971,1.2082235
Europe_NA_NA,205,AGID_2358,1514,NAN,Europe,Europe,,,,13.59363889,7.142857143,1.6,1.381551056,4.0,0.0024223264738773,0.0047075927428673,0.0036207296879797,0.0006435454281992,1.7127402
Europe_NA_NA,206,AGID_2359,1515,NAN,Europe,Europe,,,,22.04775,9.666666667,0.65,4.605170186,7.0,0.0018547266252929,0.0039912181218278,0.0047503582449501,0.0012208571460694,0.84697366
Europe_NA_NA,207,AGID_2360,1517,NAN,Europe,Europe,,,,9.53525,4.333333333,1.7,1.565757863,4.0,0.0019623898659189,0.0039019024658741,0.0029606305488875,0.0004558911658831,1.7837832
